stamp,open,high,low,close,buyvolume,sellvolume,volume
2014-05-23 12:24:20,1288.3795,1288.6045,1288.3795,1288.6045,138.0,64.0,266.0
2014-05-23 12:24:30,1288.6045,1288.6045,1288.4075,1288.4075,581.0,591.0,1763.0
2014-05-23 12:24:40,1288.4075,1288.69,1288.4015,1288.5590000000002,62.0,47.0,156.0
2014-05-23 12:24:50,1288.5590000000002,1288.6195,1288.3405,1288.3405,11.0,20.0,51.0
2014-05-23 12:25:00,1288.3405,1288.594,1288.2165,1288.383,96.0,89.0,274.0
2014-05-23 12:25:10,1288.383,1288.383,1287.9125,1288.008,85.0,127.0,339.0
2014-05-23 12:25:20,1288.008,1288.105,1287.723,1287.911,114.0,57.0,228.0
2014-05-23 12:25:30,1287.911,1287.911,1287.7350000000001,1287.859,25.0,30.0,85.0
2014-05-23 12:25:40,1287.859,1288.0865000000001,1287.859,1287.958,86.0,44.0,174.0
2014-05-23 12:25:50,1287.958,1288.2060000000001,1287.9285,1288.2060000000001,86.0,19.0,124.0
2014-05-23 12:26:00,1288.2060000000001,1288.5590000000002,1288.0725000000002,1288.3095,46.0,42.0,130.0
2014-05-23 12:26:10,1288.3095,1288.5235000000002,1288.2645000000002,1288.5235000000002,14.0,6.0,26.0
2014-05-23 12:26:20,1288.5235000000002,1288.7605,1288.3395,1288.7240000000002,150.0,93.0,336.0
2014-05-23 12:26:30,1288.7240000000002,1288.8200000000002,1288.629,1288.6730000000002,42.0,31.0,104.0
2014-05-23 12:26:40,1288.6730000000002,1288.8125,1288.663,1288.8125,25.0,1.0,27.0
2014-05-23 12:26:50,1288.8125,1288.852,1288.7690000000002,1288.7690000000002,2.0,4.0,10.0
2014-05-23 12:27:00,1288.7690000000002,1288.819,1288.614,1288.739,24.0,58.0,140.0
2014-05-23 12:27:10,1288.739,1288.7604999999999,1288.6995,1288.712,4.0,4.0,12.0
2014-05-23 12:27:20,1288.712,1288.712,1288.7015000000001,1288.7069999999999,3.0,2.0,7.0
2014-05-23 12:27:30,1288.7069999999999,1288.732,1288.622,1288.702,14.0,7.0,28.0
2014-05-23 12:27:40,1288.702,1288.967,1288.687,1288.9250000000002,70.0,10.0,90.0
2014-05-23 12:27:50,1288.9250000000002,1288.935,1288.9070000000002,1288.917,11.0,4.0,19.0
2014-05-23 12:28:00,1288.917,1288.929,1288.8670000000002,1288.9085,13.0,7.0,27.0
2014-05-23 12:28:10,1288.9085,1288.978,1288.886,1288.967,7.0,1.0,9.0
2014-05-23 12:28:20,1288.967,1288.967,1288.877,1288.8870000000002,2.0,5.0,12.0
2014-05-23 12:28:30,1288.8870000000002,1289.1889999999999,1288.8870000000002,1289.159,92.0,18.0,128.0
2014-05-23 12:28:40,1289.159,1289.159,1289.0790000000002,1289.1095,1.0,17.0,35.0
2014-05-23 12:28:50,1289.1095,1289.159,1288.9705,1289.159,10.0,27.0,64.0
2014-05-23 12:29:00,1289.159,1289.3049999999998,1289.1545,1289.3049999999998,43.0,18.0,79.0
2014-05-23 12:29:10,1289.3049999999998,1289.394,1289.275,1289.3650000000002,17.0,1.0,19.0
2014-05-23 12:29:20,1289.3650000000002,1289.3650000000002,1289.2085000000002,1289.2085000000002,17.0,38.0,93.0
2014-05-23 12:29:30,1289.2085000000002,1289.2885,1289.1840000000002,1289.219,8.0,8.0,24.0
2014-05-23 12:29:40,1289.219,1289.2725,1289.2075,1289.221,27.0,7.0,41.0
2014-05-23 12:29:50,1289.221,1289.231,1289.0985,1289.1795000000002,13.0,18.0,49.0
2014-05-23 12:30:00,1289.1795000000002,1289.1795000000002,1289.0500000000002,1289.0700000000002,14.0,10.0,34.0
